questions,answers,questions_with_answers,entity,image_ids
RT @CuteEmergency : Koala helping out with the computer . http://t.co/AuCt3ctSRb Which word(s) correspond to the person in the sentence? ,Koala,RT @CuteEmergency : Koala helping out with the computer . http://t.co/AuCt3ctSRb Which word(s) correspond to the person in the sentence? Answer: Koala,person,120079.jpg
The best way to make your dreams come true is to wake up . Paul Valery #amwriting #writing http://t.co/Ralhhq4XnW Which word(s) correspond to the person in the sentence? ,Paul Valery,The best way to make your dreams come true is to wake up . Paul Valery #amwriting #writing http://t.co/Ralhhq4XnW Which word(s) correspond to the person in the sentence? Answer: Paul Valery,person,734998.jpg
"Trippy Beatz is the the old Sleazy Beatz account . Ugh , RIP Sleazy Beatz . You are missed #staySLEAZY http://t.co/pUxj3TrDJt Which word(s) correspond to the person in the sentence? ",Trippy Beatz,"Trippy Beatz is the the old Sleazy Beatz account . Ugh , RIP Sleazy Beatz . You are missed #staySLEAZY http://t.co/pUxj3TrDJt Which word(s) correspond to the person in the sentence? Answer: Trippy Beatz",person,71593.jpg
14 Supervillains Quoting David Cameron http://t.co/80AV166lrV http://t.co/7ddCmIIJNl Which word(s) correspond to the person in the sentence? ,David Cameron,14 Supervillains Quoting David Cameron http://t.co/80AV166lrV http://t.co/7ddCmIIJNl Which word(s) correspond to the person in the sentence? Answer: David Cameron,person,1039908.jpg
Good morning from Az ! http://t.co/rf6UyszX Which word(s) correspond to the location in the sentence? ,Az,Good morning from Az ! http://t.co/rf6UyszX Which word(s) correspond to the location in the sentence? Answer: Az,location,503468.jpg
"RT @topspeed : No longer happy with dividing by zero , Chuck Norris now divides by Van Damme . http://t.co/tNwZYYtg88 Which word(s) correspond to the person in the sentence? ",Chuck Norris,"RT @topspeed : No longer happy with dividing by zero , Chuck Norris now divides by Van Damme . http://t.co/tNwZYYtg88 Which word(s) correspond to the person in the sentence? Answer: Chuck Norris",person,31934.jpg
Alex Oxlade-Chamberlain got skills . . . . serious skills . http://t.co/5PV5sQH2yk http://t.co/0Wz3T0KYk8 Which word(s) correspond to the person in the sentence? ,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain got skills . . . . serious skills . http://t.co/5PV5sQH2yk http://t.co/0Wz3T0KYk8 Which word(s) correspond to the person in the sentence? Answer: Alex Oxlade-Chamberlain,person,407342.jpg
RT @ESPNNFL : Pretty cool scene in San Francisco pregame on the 200th anniversary of the Star Spangled Banner . http://t.co/oJezdYdZI1 Which word(s) correspond to the location in the sentence? ,San Francisco,RT @ESPNNFL : Pretty cool scene in San Francisco pregame on the 200th anniversary of the Star Spangled Banner . http://t.co/oJezdYdZI1 Which word(s) correspond to the location in the sentence? Answer: San Francisco,location,14800.jpg
"RT @spacegirlgail : Current emotional state : sobbing like a baby at this . Vienna , you are wonderful . http://t.co/KwlwXj8q0m Which word(s) correspond to the location in the sentence? ",Vienna,"RT @spacegirlgail : Current emotional state : sobbing like a baby at this . Vienna , you are wonderful . http://t.co/KwlwXj8q0m Which word(s) correspond to the location in the sentence? Answer: Vienna",location,113210.jpg
"RT @OnionSports : Tour De France Won By Rowdy , Tattooed Biker From Harley Davidson Team http://t.co/E3XFIUWtCW http://t.co/gV9eHbqbmG Which word(s) correspond to the misceallonous entity in the sentence? ",Tour France De,"RT @OnionSports : Tour De France Won By Rowdy , Tattooed Biker From Harley Davidson Team http://t.co/E3XFIUWtCW http://t.co/gV9eHbqbmG Which word(s) correspond to the misceallonous entity in the sentence? Answer: Tour France De",misceallonous entity,45565.jpg
RT @raichanxd : 1200 people gathered in Ansan to pray for the passengers of Sewol accident ; ~ ; #PrayForSouthKorea http://t.co/owB2DnEk9o Which word(s) correspond to the location in the sentence? ,Ansan,RT @raichanxd : 1200 people gathered in Ansan to pray for the passengers of Sewol accident ; ~ ; #PrayForSouthKorea http://t.co/owB2DnEk9o Which word(s) correspond to the location in the sentence? Answer: Ansan,location,8146.jpg
"RT @revbillytalen : At 10 : 56 pm ET on July 20 , 1969 , Neil Armstrong stepped onto the moon . http://t.co/xGvDaNZLCc http://t.co/05x4xOhiXy Which word(s) correspond to the misceallonous entity in the sentence? ",ET,"RT @revbillytalen : At 10 : 56 pm ET on July 20 , 1969 , Neil Armstrong stepped onto the moon . http://t.co/xGvDaNZLCc http://t.co/05x4xOhiXy Which word(s) correspond to the misceallonous entity in the sentence? Answer: ET",misceallonous entity,729176.jpg
"RT @NasMaraj : "" Taylor Swift Is Ugly "" Bitch where ! ! http://t.co/g0FttlGztH Which word(s) correspond to the person in the sentence? ",Taylor Swift,"RT @NasMaraj : "" Taylor Swift Is Ugly "" Bitch where ! ! http://t.co/g0FttlGztH Which word(s) correspond to the person in the sentence? Answer: Taylor Swift",person,36015.jpg
RT @HitDaBoogieZ : Nigga said I look like I bark at people . http://t.co/5QGcweao8Q Which word(s) correspond to the person in the sentence? ,Nigga,RT @HitDaBoogieZ : Nigga said I look like I bark at people . http://t.co/5QGcweao8Q Which word(s) correspond to the person in the sentence? Answer: Nigga,person,38731.jpg
RT @AnimalsAsia : Special Report : Dog meat wars : 5 stories that shocked Vietnam http://t.co/YUjPBR7JNG http://t.co/rDlqetIf9R Which word(s) correspond to the location in the sentence? ,Vietnam,RT @AnimalsAsia : Special Report : Dog meat wars : 5 stories that shocked Vietnam http://t.co/YUjPBR7JNG http://t.co/rDlqetIf9R Which word(s) correspond to the location in the sentence? Answer: Vietnam,location,1027114.jpg
Sweet new friend in Randolph County ! http://t.co/RlZIrhy8vq Which word(s) correspond to the location in the sentence? ,Randolph County,Sweet new friend in Randolph County ! http://t.co/RlZIrhy8vq Which word(s) correspond to the location in the sentence? Answer: Randolph County,location,418057.jpg
#RedSox mgr . John Farrell about being on the hot seat : http://t.co/5eDpjfgRux Which word(s) correspond to the person in the sentence? ,John Farrell,#RedSox mgr . John Farrell about being on the hot seat : http://t.co/5eDpjfgRux Which word(s) correspond to the person in the sentence? Answer: John Farrell,person,2020003.jpg
Alex Ovechkin Interviewed by ABC Crew during the Lunch time at Mari Vanna DC ! #marivannadc @ovi8 @ABC http://t.co/duIo6DJLyY Which word(s) correspond to the person in the sentence? ,Alex Ovechkin,Alex Ovechkin Interviewed by ABC Crew during the Lunch time at Mari Vanna DC ! #marivannadc @ovi8 @ABC http://t.co/duIo6DJLyY Which word(s) correspond to the person in the sentence? Answer: Alex Ovechkin,person,1471516.jpg
"RT @thewonderwheel : Bill Murray as Han Solo ? Yes , please ! #SDCC http://t.co/gXUqcr0l0r http://t.co/jCRhHG5NuM Which word(s) correspond to the person in the sentence? ",Bill Murray,"RT @thewonderwheel : Bill Murray as Han Solo ? Yes , please ! #SDCC http://t.co/gXUqcr0l0r http://t.co/jCRhHG5NuM Which word(s) correspond to the person in the sentence? Answer: Bill Murray",person,558375.jpg
#TBLighting Alex Killorn tips a puck around #Blackhawks Corey Crawford ' s skate for a goal http://t.co/15beLF6Ajw http://t.co/zLcSXaaPnc Which word(s) correspond to the person in the sentence? ,Alex Killorn,#TBLighting Alex Killorn tips a puck around #Blackhawks Corey Crawford ' s skate for a goal http://t.co/15beLF6Ajw http://t.co/zLcSXaaPnc Which word(s) correspond to the person in the sentence? Answer: Alex Killorn,person,70984.jpg
RT @mashable : Netflix giving Adam Sandler creative control is totally backfiring : http://t.co/OzLVf3E4Fq http://t.co/qWpDeSB40H Which word(s) correspond to the organization in the sentence? ,Netflix,RT @mashable : Netflix giving Adam Sandler creative control is totally backfiring : http://t.co/OzLVf3E4Fq http://t.co/qWpDeSB40H Which word(s) correspond to the organization in the sentence? Answer: Netflix,organization,137349.jpg
Of course Tesla has a solar camera/battery to document their Gigafatory buildout [ Video ] http://t.co/AH3eyOPcxL http://t.co/XkvwEmzXVp Which word(s) correspond to the misceallonous entity in the sentence? ,Gigafatory,Of course Tesla has a solar camera/battery to document their Gigafatory buildout [ Video ] http://t.co/AH3eyOPcxL http://t.co/XkvwEmzXVp Which word(s) correspond to the misceallonous entity in the sentence? Answer: Gigafatory,misceallonous entity,1116776.jpg
Toews &amp ; Kane #Blackhawks poster in Sunday ' s @chicagotribune . Re-live the Stanley Cup moment : http://t.co/xhuAR9UjgB http://t.co/RLWMGNExgA Which word(s) correspond to the person in the sentence? ,Toews,Toews &amp ; Kane #Blackhawks poster in Sunday ' s @chicagotribune . Re-live the Stanley Cup moment : http://t.co/xhuAR9UjgB http://t.co/RLWMGNExgA Which word(s) correspond to the person in the sentence? Answer: Toews,person,70781.jpg
"Glen Coe , Scottish Highlands , #Scotland http://t.co/KzUJ2sHl6x Which word(s) correspond to the location in the sentence? ",Glen Coe,"Glen Coe , Scottish Highlands , #Scotland http://t.co/KzUJ2sHl6x Which word(s) correspond to the location in the sentence? Answer: Glen Coe",location,1826830.jpg
"One hiccup later , Pedro Strop closes the door . #Cubs sweep Diamondbacks . Photos : http://t.co/P52aFWwBo3 http://t.co/qnf8aq97uP Which word(s) correspond to the person in the sentence? ",Pedro Strop,"One hiccup later , Pedro Strop closes the door . #Cubs sweep Diamondbacks . Photos : http://t.co/P52aFWwBo3 http://t.co/qnf8aq97uP Which word(s) correspond to the person in the sentence? Answer: Pedro Strop",person,70398.jpg
RT @94sidiot : Niall has THE BEST FRIENDS EVER #NiallAppreciationDay http://t.co/qktJ81Y9Ms Which word(s) correspond to the person in the sentence? ,Niall,RT @94sidiot : Niall has THE BEST FRIENDS EVER #NiallAppreciationDay http://t.co/qktJ81Y9Ms Which word(s) correspond to the person in the sentence? Answer: Niall,person,454067.jpg
"@ROGAstronomers shot from Derby , UK ( 12th August ) #perseid http://t.co/YDCOj6hHbq Which word(s) correspond to the location in the sentence? ",Derby,"@ROGAstronomers shot from Derby , UK ( 12th August ) #perseid http://t.co/YDCOj6hHbq Which word(s) correspond to the location in the sentence? Answer: Derby",location,1074797.jpg
Netflix Stock Fades as Risk Explodes ; and Here Comes Apple http://t.co/VPrdGicmHV $NFLX $AAPL http://t.co/87uM6dKccz Which word(s) correspond to the organization in the sentence? ,Netflix,Netflix Stock Fades as Risk Explodes ; and Here Comes Apple http://t.co/VPrdGicmHV $NFLX $AAPL http://t.co/87uM6dKccz Which word(s) correspond to the organization in the sentence? Answer: Netflix,organization,36079.jpg
RT @SteveMariucci : Gettin ready for the Draft at Raos-- NYC ! ! http://t.co/BTY7sXRez4 Which word(s) correspond to the location in the sentence? ,NYC,RT @SteveMariucci : Gettin ready for the Draft at Raos-- NYC ! ! http://t.co/BTY7sXRez4 Which word(s) correspond to the location in the sentence? Answer: NYC,location,583416.jpg
RT @jstorres : How to Use ' The Katelyn Rule ' to Empower Your People http://t.co/x0JRleaIBp | https://t.co/DYMhdBRdGS http://t.co/erh2i0h0Ed Which word(s) correspond to the misceallonous entity in the sentence? ,The Rule Katelyn,RT @jstorres : How to Use ' The Katelyn Rule ' to Empower Your People http://t.co/x0JRleaIBp | https://t.co/DYMhdBRdGS http://t.co/erh2i0h0Ed Which word(s) correspond to the misceallonous entity in the sentence? Answer: The Rule Katelyn,misceallonous entity,63739.jpg
"A Policy Panel getting started w EPA , Wisconsin DNR , Fond du Lac Band , and @MnPCA #HgForum http://t.co/ohbbRX5CDE Which word(s) correspond to the organization in the sentence? ",EPA,"A Policy Panel getting started w EPA , Wisconsin DNR , Fond du Lac Band , and @MnPCA #HgForum http://t.co/ohbbRX5CDE Which word(s) correspond to the organization in the sentence? Answer: EPA",organization,1023134.jpg
RT @TattooGirlsMag : Tattooed girl Kristen Leanne http://t.co/8qx4px7F Which word(s) correspond to the person in the sentence? ,Kristen Leanne,RT @TattooGirlsMag : Tattooed girl Kristen Leanne http://t.co/8qx4px7F Which word(s) correspond to the person in the sentence? Answer: Kristen Leanne,person,21635.jpg
RT @BuzzFeed : 10 Ways Canada Has Already Won ` http://t.co/YcbsTZNMQw http://t.co/9lp2VpX2D6 Which word(s) correspond to the location in the sentence? ,Canada,RT @BuzzFeed : 10 Ways Canada Has Already Won ` http://t.co/YcbsTZNMQw http://t.co/9lp2VpX2D6 Which word(s) correspond to the location in the sentence? Answer: Canada,location,390711.jpg
"RT @sheena _ adams : Gail Nkoane today announced as ( gorgeous ) new face of #OlayEvenandSmooth , fitting for SA brand . @DestinyConnect http:/ ... Which word(s) correspond to the person in the sentence? ",Gail Nkoane,"RT @sheena _ adams : Gail Nkoane today announced as ( gorgeous ) new face of #OlayEvenandSmooth , fitting for SA brand . @DestinyConnect http:/ ... Which word(s) correspond to the person in the sentence? Answer: Gail Nkoane",person,1388051.jpg
"RT @lizet _ engelb : "" It is not organizations that fail , it is individuals that fail . "" Dr Kapila on Darfur genocide . http://t.co/l99VVx7RUk Which word(s) correspond to the person in the sentence? ",Dr Kapila,"RT @lizet _ engelb : "" It is not organizations that fail , it is individuals that fail . "" Dr Kapila on Darfur genocide . http://t.co/l99VVx7RUk Which word(s) correspond to the person in the sentence? Answer: Dr Kapila",person,12865.jpg
Good Morning Zaatari ! #Syria http://t.co/LNyJK7Y5uc Which word(s) correspond to the location in the sentence? ,Zaatari,Good Morning Zaatari ! #Syria http://t.co/LNyJK7Y5uc Which word(s) correspond to the location in the sentence? Answer: Zaatari,location,370490.jpg
"Tomas hertl with a bunny rabbit , I literally can ' t even right now . http://t.co/K6jfnox9Bc Which word(s) correspond to the person in the sentence? ",Tomas,"Tomas hertl with a bunny rabbit , I literally can ' t even right now . http://t.co/K6jfnox9Bc Which word(s) correspond to the person in the sentence? Answer: Tomas",person,74082.jpg
Congrats to Victoria Cowen on being crowned Miss Florida 2014 . We thank Elizabeth Fechtel and wish her the very best . http://t.co/uAqzwBchAy Which word(s) correspond to the person in the sentence? ,Victoria Cowen,Congrats to Victoria Cowen on being crowned Miss Florida 2014 . We thank Elizabeth Fechtel and wish her the very best . http://t.co/uAqzwBchAy Which word(s) correspond to the person in the sentence? Answer: Victoria Cowen,person,464366.jpg
"The most improved APM Maturity award goes to : Great American Insurance ! http://t.co/8xJqNJqs5u #apmperform, @CompuwareAPM Which word(s) correspond to the misceallonous entity in the sentence? ",APM award Maturity,"The most improved APM Maturity award goes to : Great American Insurance ! http://t.co/8xJqNJqs5u #apmperform, @CompuwareAPM Which word(s) correspond to the misceallonous entity in the sentence? Answer: APM award Maturity",misceallonous entity,6274.jpg
RT @Johnnidijulius : Shirts for tomorrows dual against Missouri have Kosta ' s back tattoo printed on it ! Miss you buddy . http://t.co/PTWe4594… Which word(s) correspond to the location in the sentence? ,Missouri,RT @Johnnidijulius : Shirts for tomorrows dual against Missouri have Kosta ' s back tattoo printed on it ! Miss you buddy . http://t.co/PTWe4594… Which word(s) correspond to the location in the sentence? Answer: Missouri,location,62300.jpg
Sunshine on a rainy day . Backstage at Vanessa Bruno . I can say no more ( yet ) #grandpalais #pfw #backstagebeauty http://t.co/ZuvDW2Kz1d Which word(s) correspond to the location in the sentence? ,Vanessa Bruno,Sunshine on a rainy day . Backstage at Vanessa Bruno . I can say no more ( yet ) #grandpalais #pfw #backstagebeauty http://t.co/ZuvDW2Kz1d Which word(s) correspond to the location in the sentence? Answer: Vanessa Bruno,location,834618.jpg
Please join us in welcoming licensed real estate salesperson Dominique Ward to our Delmar office @BHHSRealEstate http://t.co/YJSlClJjAj Which word(s) correspond to the person in the sentence? ,Dominique Ward,Please join us in welcoming licensed real estate salesperson Dominique Ward to our Delmar office @BHHSRealEstate http://t.co/YJSlClJjAj Which word(s) correspond to the person in the sentence? Answer: Dominique Ward,person,541630.jpg
"RT @mein _ _ apfel : Kelimutu Crater Lakes in Flores Island , Indonesia http://t.co/Klc58vnoZ5 Which word(s) correspond to the location in the sentence? ",Kelimutu Lakes Crater,"RT @mein _ _ apfel : Kelimutu Crater Lakes in Flores Island , Indonesia http://t.co/Klc58vnoZ5 Which word(s) correspond to the location in the sentence? Answer: Kelimutu Lakes Crater",location,554537.jpg
Structure fire on Franklin under control . Residents not home . 2 dogs rescued . http://t.co/L5RUeQJzBk Which word(s) correspond to the person in the sentence? ,Franklin,Structure fire on Franklin under control . Residents not home . 2 dogs rescued . http://t.co/L5RUeQJzBk Which word(s) correspond to the person in the sentence? Answer: Franklin,person,1331611.jpg
I visited #Eskisehir last weekend and fell in love with this fascinating city . . Congrats #YilmazBuyukersen http://t.co/IKT4tYtxvB Which word(s) correspond to the location in the sentence? ,#Eskisehir,I visited #Eskisehir last weekend and fell in love with this fascinating city . . Congrats #YilmazBuyukersen http://t.co/IKT4tYtxvB Which word(s) correspond to the location in the sentence? Answer: #Eskisehir,location,815997.jpg
More than a few Rays fans in town and packing Wrigley today #cubs #rays #wrigley100 http://t.co/CXrbQrW4nN Which word(s) correspond to the organization in the sentence? ,Rays,More than a few Rays fans in town and packing Wrigley today #cubs #rays #wrigley100 http://t.co/CXrbQrW4nN Which word(s) correspond to the organization in the sentence? Answer: Rays,organization,73440.jpg
When u live in the desert but still get more rain than California http://t.co/BdBNSSzuuV Which word(s) correspond to the location in the sentence? ,California,When u live in the desert but still get more rain than California http://t.co/BdBNSSzuuV Which word(s) correspond to the location in the sentence? Answer: California,location,73978.jpg
Hat tip to our customer @Walmart for its new #JUMP effort in support of US #manufacturing http://t.co/9q4JIO4LD1 http://t.co/M75GeZbl2T Which word(s) correspond to the misceallonous entity in the sentence? ,#JUMP,Hat tip to our customer @Walmart for its new #JUMP effort in support of US #manufacturing http://t.co/9q4JIO4LD1 http://t.co/M75GeZbl2T Which word(s) correspond to the misceallonous entity in the sentence? Answer: #JUMP,misceallonous entity,813559.jpg
"Remember everyone , vote ANC they know how to spend money well ! #Election http://t.co/VuVcNJlNMj Which word(s) correspond to the organization in the sentence? ",ANC,"Remember everyone , vote ANC they know how to spend money well ! #Election http://t.co/VuVcNJlNMj Which word(s) correspond to the organization in the sentence? Answer: ANC",organization,804800.jpg
"When 10 doors are slammed in your face , go to door number 11 . . . with a smile . John Paul DeJoria #amwriting #writing http://t.co/HHQO4lqukE Which word(s) correspond to the person in the sentence? ",John DeJoria Paul,"When 10 doors are slammed in your face , go to door number 11 . . . with a smile . John Paul DeJoria #amwriting #writing http://t.co/HHQO4lqukE Which word(s) correspond to the person in the sentence? Answer: John DeJoria Paul",person,734346.jpg
"RT @IjeomaOluo : All 5 black people in Spokane are like "" I told you that woman was white ! "" http://t.co/Y0UyETUMsC http://t.co/MUkOasqcPP Which word(s) correspond to the location in the sentence? ",Spokane,"RT @IjeomaOluo : All 5 black people in Spokane are like "" I told you that woman was white ! "" http://t.co/Y0UyETUMsC http://t.co/MUkOasqcPP Which word(s) correspond to the location in the sentence? Answer: Spokane",location,15749.jpg
RT @fitsnews : Jeb Bush Goes After Donald Trump - http://t.co/QpOK1us7Fx http://t.co/G7kN3oZ1to Which word(s) correspond to the person in the sentence? ,Jeb Bush,RT @fitsnews : Jeb Bush Goes After Donald Trump - http://t.co/QpOK1us7Fx http://t.co/G7kN3oZ1to Which word(s) correspond to the person in the sentence? Answer: Jeb Bush,person,532698.jpg
"Rookie Kyle Fuller with the game-changing INT in the 4th , taking the ball away from Crabtree http://t.co/0w3hABPPRU http://t.co/idwgfww8bm Which word(s) correspond to the person in the sentence? ",Kyle Fuller,"Rookie Kyle Fuller with the game-changing INT in the 4th , taking the ball away from Crabtree http://t.co/0w3hABPPRU http://t.co/idwgfww8bm Which word(s) correspond to the person in the sentence? Answer: Kyle Fuller",person,73216.jpg
@JihadistJoe from the dorm of Islamist students supporting Morsi in egypt http://t.co/aYKMJQKJ7C Which word(s) correspond to the misceallonous entity in the sentence? ,Islamist,@JihadistJoe from the dorm of Islamist students supporting Morsi in egypt http://t.co/aYKMJQKJ7C Which word(s) correspond to the misceallonous entity in the sentence? Answer: Islamist,misceallonous entity,12383.jpg
RT @chanelpuke : Amber Rose and I have the same outfit http://t.co/EQg4OnzvMD Which word(s) correspond to the person in the sentence? ,Amber Rose,RT @chanelpuke : Amber Rose and I have the same outfit http://t.co/EQg4OnzvMD Which word(s) correspond to the person in the sentence? Answer: Amber Rose,person,21902.jpg
RT @onedirection : #1DPickOfTheWeek : Liam warming up backstage before performing for some of YOU . 1DHQ x http://t.co/0eh4xq4ZfL Which word(s) correspond to the person in the sentence? ,Liam,RT @onedirection : #1DPickOfTheWeek : Liam warming up backstage before performing for some of YOU . 1DHQ x http://t.co/0eh4xq4ZfL Which word(s) correspond to the person in the sentence? Answer: Liam,person,177171.jpg
RT @westinbali : Enjoy up to 10 % in savings in this exclusive SPG member only discount at #WestinBali . Book now http://t.co/ThvL9jwGHB http:… Which word(s) correspond to the misceallonous entity in the sentence? ,SPG,RT @westinbali : Enjoy up to 10 % in savings in this exclusive SPG member only discount at #WestinBali . Book now http://t.co/ThvL9jwGHB http:… Which word(s) correspond to the misceallonous entity in the sentence? Answer: SPG,misceallonous entity,70036.jpg
RT @yanelisKID : Vanessa Hudgens is winning so hard http://t.co/HSGAJgKV6D Which word(s) correspond to the person in the sentence? ,Vanessa Hudgens,RT @yanelisKID : Vanessa Hudgens is winning so hard http://t.co/HSGAJgKV6D Which word(s) correspond to the person in the sentence? Answer: Vanessa Hudgens,person,109759.jpg
RT @OfficialWith1D : Liam used a fire extinguisher on Louis lol ! #OTRAToronto http://t.co/4ynJyPJWgZ Which word(s) correspond to the person in the sentence? ,Liam,RT @OfficialWith1D : Liam used a fire extinguisher on Louis lol ! #OTRAToronto http://t.co/4ynJyPJWgZ Which word(s) correspond to the person in the sentence? Answer: Liam,person,452547.jpg
"RT @KING5Seattle : . @DougBaldwinJr soaking in the moment #Seahawks Photo : Steven Bisig , USA Today Sports http://t.co/FeexPxQePo Which word(s) correspond to the organization in the sentence? ",#Seahawks,"RT @KING5Seattle : . @DougBaldwinJr soaking in the moment #Seahawks Photo : Steven Bisig , USA Today Sports http://t.co/FeexPxQePo Which word(s) correspond to the organization in the sentence? Answer: #Seahawks",organization,572586.jpg
"RT @RashtrapatiBhvn : Mr . John Major , Prime Minister of the United Kingdom was guest of honour of RD1993 http://t.co/eucInwFQEM Which word(s) correspond to the location in the sentence? ",United Kingdom,"RT @RashtrapatiBhvn : Mr . John Major , Prime Minister of the United Kingdom was guest of honour of RD1993 http://t.co/eucInwFQEM Which word(s) correspond to the location in the sentence? Answer: United Kingdom",location,770424.jpg
A very young and handsome Stringer Davis . #tcmparty http://t.co/b6BWCKgoDi Which word(s) correspond to the person in the sentence? ,Stringer Davis,A very young and handsome Stringer Davis . #tcmparty http://t.co/b6BWCKgoDi Which word(s) correspond to the person in the sentence? Answer: Stringer Davis,person,94118.jpg
"Come meet KABIBE on Saturday , December 21 , starting at 10 : 00am ! Photo by Marianne Hale http://t.co/W0IAWWTHpW Which word(s) correspond to the misceallonous entity in the sentence? ",KABIBE,"Come meet KABIBE on Saturday , December 21 , starting at 10 : 00am ! Photo by Marianne Hale http://t.co/W0IAWWTHpW Which word(s) correspond to the misceallonous entity in the sentence? Answer: KABIBE",misceallonous entity,1285325.jpg
RT @Lungati : #MISSINGPERSON : Dr . ERIC ARIBA OLEMBO . 34 years old dentist at Nairobi West Hospital has been missing since 1st June http://t.… Which word(s) correspond to the location in the sentence? ,Nairobi Hospital West,RT @Lungati : #MISSINGPERSON : Dr . ERIC ARIBA OLEMBO . 34 years old dentist at Nairobi West Hospital has been missing since 1st June http://t.… Which word(s) correspond to the location in the sentence? Answer: Nairobi Hospital West,location,62644.jpg
RT @Refugees : 4 million refugees : today the Syrian crisis passes a sad milestone : http://t.co/xeWq3PwqVf http://t.co/CkVftjETmv Which word(s) correspond to the location in the sentence? ,Syrian,RT @Refugees : 4 million refugees : today the Syrian crisis passes a sad milestone : http://t.co/xeWq3PwqVf http://t.co/CkVftjETmv Which word(s) correspond to the location in the sentence? Answer: Syrian,location,8331.jpg
RT @Mark _ Baden : These are the coldest wind chills I have ever seen on our WI computer models . -79 in Eau Claire . http://t.co/R9kl6HKpW3 Which word(s) correspond to the location in the sentence? ,Eau Claire,RT @Mark _ Baden : These are the coldest wind chills I have ever seen on our WI computer models . -79 in Eau Claire . http://t.co/R9kl6HKpW3 Which word(s) correspond to the location in the sentence? Answer: Eau Claire,location,128003.jpg
RT @strombone1 : Buffon is out today ? GUYS I GOT THIS ! ! ! http://t.co/Z4PVLkEtaY Which word(s) correspond to the person in the sentence? ,Buffon,RT @strombone1 : Buffon is out today ? GUYS I GOT THIS ! ! ! http://t.co/Z4PVLkEtaY Which word(s) correspond to the person in the sentence? Answer: Buffon,person,1812349.jpg
RT @venicetheseries : Download VENICE and THE GROVE and watch anytime/anywhere ! https : //t . co/8gaahQDUE0 http://t.co/f7uESgseWU Which word(s) correspond to the misceallonous entity in the sentence? ,VENICE,RT @venicetheseries : Download VENICE and THE GROVE and watch anytime/anywhere ! https : //t . co/8gaahQDUE0 http://t.co/f7uESgseWU Which word(s) correspond to the misceallonous entity in the sentence? Answer: VENICE,misceallonous entity,697307.jpg
RT @PaulHeggenWSMV : Tornado Warning for Wilson county . Rotation just south of Lebanon . http://t.co/t4S5CO8C3H Which word(s) correspond to the location in the sentence? ,Wilson,RT @PaulHeggenWSMV : Tornado Warning for Wilson county . Rotation just south of Lebanon . http://t.co/t4S5CO8C3H Which word(s) correspond to the location in the sentence? Answer: Wilson,location,384951.jpg
"RT @CitationsCinema : "" Plus tu aimes les gens , plus tu es faible . "" Game of Thrones http://t.co/BcsNXx1AVY Which word(s) correspond to the misceallonous entity in the sentence? ",Game Thrones of,"RT @CitationsCinema : "" Plus tu aimes les gens , plus tu es faible . "" Game of Thrones http://t.co/BcsNXx1AVY Which word(s) correspond to the misceallonous entity in the sentence? Answer: Game Thrones of",misceallonous entity,27.jpg
Preparing the sand at Hayes Beach for Memorial Day weekend . Chicago beaches open Saturday ! http://t.co/dc9yXUuPvf Which word(s) correspond to the location in the sentence? ,Hayes Beach,Preparing the sand at Hayes Beach for Memorial Day weekend . Chicago beaches open Saturday ! http://t.co/dc9yXUuPvf Which word(s) correspond to the location in the sentence? Answer: Hayes Beach,location,73853.jpg
"RT @bartongellman : NYC subway camera poster , edited for clarity . ( 2 train , today . ) Never saw this before #Snowden . http://t.co/geRckDZHQl Which word(s) correspond to the location in the sentence? ",NYC,"RT @bartongellman : NYC subway camera poster , edited for clarity . ( 2 train , today . ) Never saw this before #Snowden . http://t.co/geRckDZHQl Which word(s) correspond to the location in the sentence? Answer: NYC",location,91766.jpg
@FitnessMagazine The lady at Grand Central REALLY wants to clean those shoes ! http://t.co/wqShXA7tbG http://t.co/mvHeSGolks Which word(s) correspond to the location in the sentence? ,Grand Central,@FitnessMagazine The lady at Grand Central REALLY wants to clean those shoes ! http://t.co/wqShXA7tbG http://t.co/mvHeSGolks Which word(s) correspond to the location in the sentence? Answer: Grand Central,location,373135.jpg
RT @ItsQueenElsa : Disney and Mean Girls http://t.co/Scir75Vp3L Which word(s) correspond to the organization in the sentence? ,Disney,RT @ItsQueenElsa : Disney and Mean Girls http://t.co/Scir75Vp3L Which word(s) correspond to the organization in the sentence? Answer: Disney,organization,73551.jpg
Congratulations to Lacey Sanchez @laceysan on being crowned Miss Louisiana 2014 ! #MA2015 #MissAmerica http://t.co/FuqTwmy5Kd Which word(s) correspond to the person in the sentence? ,Lacey Sanchez,Congratulations to Lacey Sanchez @laceysan on being crowned Miss Louisiana 2014 ! #MA2015 #MissAmerica http://t.co/FuqTwmy5Kd Which word(s) correspond to the person in the sentence? Answer: Lacey Sanchez,person,464273.jpg
"RT @pl1949 : Welcome to St . Petersburg , Russia http://t.co/7l0w8SIWDV #Citybreaks #travel http://t.co/VPZeXKKKOi Which word(s) correspond to the location in the sentence? ",Russia,"RT @pl1949 : Welcome to St . Petersburg , Russia http://t.co/7l0w8SIWDV #Citybreaks #travel http://t.co/VPZeXKKKOi Which word(s) correspond to the location in the sentence? Answer: Russia",location,153978.jpg
